pot,block,line,crop
1,A,P0528A1-1,oat
2,A,BADGER,oat
3,A,MN10121,oat
4,A,00P28-AN01B1,oat
5,A,REINS,oat
6,A,SD090552,oat
8,A,SD120289,oat
9,A,Celebration,6row
10,A,Rollag,wheat
12,A,MN06203,oat
15,A,SD050616,oat
16,A,SD120289,oat
17,A,MN09115,oat
18,A,SD090882,oat
20,A,IL00-1030,oat
21,A,SD041445-119,oat
22,A,Quest,6row
24,A,Pinnacle,2row
25,A,Stout,oat
27,A,OA1342-2,oat
28,A,Shelly,wheat
29,A,IL07-8721,oat
30,A,ND021052,oat
32,A,AC-metcalf,2row
35,A,P0216A1-1-45,oat
37,A,Linkert,wheat
38,A,MN113946,wheat
39,A,StellarND,6row
101,B,ND060182,oat
105,B,Tradition,6row
106,B,P0528A1-1,oat
107,B,Celebration,6row
108,B,MN06203,oat
109,B,Quest,6row
110,B,MN09115,oat
111,B,StellarND,6row
113,B,SD090882,oat
114,B,Linkert,wheat
115,B,Stout,oat
116,B,IL00-1030,oat
117,B,WIX8791-1,oat
118,B,P0216A1-1-45,oat
119,B,00P28-AN01B1,oat
120,B,MN10121,oat
121,B,SD111946,oat
122,B,AC-metcalf,2row
123,B,SD090552,oat
124,B,ND060342,oat
125,B,Pinnacle,2row
126,B,MN07104,oat
128,B,Conlon,2row
129,B,REINS,oat
130,B,ND021052,oat
131,B,GOPHER,oat
132,B,OA1253-1,oat
134,B,Rollag,wheat
136,B,MN113946,wheat
137,B,BADGER,oat
138,B,Shelly,wheat
139,B,SD041445-119,oat
202,C,SD111946,oat
203,C,Shelly,wheat
204,C,Quest,6row
205,C,MN09230,oat
206,C,IL00-1030,oat
207,C,00P28-AN01B1,oat
208,C,MN06203,oat
209,C,P0216A1-1-45,oat
210,C,Rollag,wheat
212,C,Celebration,6row
214,C,OA1342-2,oat
215,C,AC-metcalf,2row
216,C,P0528A1-1,oat
217,C,Tradition,6row
220,C,SD041445-119,oat
222,C,MN10121,oat
224,C,OA1253-1,oat
225,C,SD050616,oat
226,C,MN07104,oat
227,C,ND060342,oat
228,C,GOPHER,oat
229,C,REINS,oat
230,C,ND021052,oat
231,C,Conlon,2row
232,C,Stout,oat
233,C,Linkert,wheat
234,C,SD090882,oat
235,C,StellarND,6row
236,C,MN113946,wheat
237,C,WIX8791-1,oat
238,C,MN09115,oat
239,C,SD120289,oat
